sensor_image,object_label,pose_x,pose_y,pose_z,pose_Rx,pose_Ry,pose_Rz,shear_x,shear_y,shear_z,shear_Rx,shear_Ry,shear_Rz,object_x,object_y,object_z,object_Rx,object_Ry,object_Rz
image_1.png,surface,0.0,0.0,1.578523701721358,23.349421713956968,3.879958314823744,0.0,-0.7627286781895052,2.752679504856659,0.0,0.0,0.0,-1.555027320507319,0,0,0,0,0,0
image_2.png,surface,0.0,0.0,1.8110958613980244,0.12404277018350751,15.0797638002374,0.0,1.5371917146951868,-2.145569301271861,0.0,0.0,0.0,-2.398236346407013,0,0,0,0,0,0
image_3.png,surface,0.0,0.0,2.5928935877817945,4.419747031898008,-15.840840628881304,0.0,-1.2779551772129032,-1.16839074512447,0.0,0.0,0.0,-2.9014222224511546,0,0,0,0,0,0
image_4.png,surface,0.0,0.0,0.6806764148878095,18.339491434135304,15.100329102604032,0.0,0.8513960294989755,0.07097401528271115,0.0,0.0,0.0,2.5771759007531436,0,0,0,0,0,0
image_5.png,surface,0.0,0.0,2.500300146337003,-10.109497457259744,20.10813832148152,0.0,-1.0982024590869255,1.5681587615989954,0.0,0.0,0.0,1.0194992795454603,0,0,0,0,0,0
image_6.png,surface,0.0,0.0,2.5119136088544782,12.788636242611354,16.702235727520055,0.0,0.8633774132950308,1.159606278764679,0.0,0.0,0.0,1.710917472138826,0,0,0,0,0,0
image_7.png,surface,0.0,0.0,1.1311476832215228,-0.9424388362736388,-7.8018131820644605,0.0,1.0848565700667743,-0.12439829261208253,0.0,0.0,0.0,-1.3096193654763055,0,0,0,0,0,0
image_8.png,surface,0.0,0.0,0.8867788929645599,-22.638425208885018,8.05270105177324,0.0,-0.6870357414576836,0.09394959308649646,0.0,0.0,0.0,0.5184609971179599,0,0,0,0,0,0
image_9.png,surface,0.0,0.0,1.4462850527725517,17.69115084458882,11.650271751532355,0.0,-2.555111555147298,0.04188339346285471,0.0,0.0,0.0,-2.6162684032741135,0,0,0,0,0,0
image_10.png,surface,0.0,0.0,1.5911323128278678,-24.146125749141294,6.622881652967206,0.0,-0.20523835975492213,-0.2464230981673358,0.0,0.0,0.0,-0.08623442439226281,0,0,0,0,0,0
image_11.png,surface,0.0,0.0,2.2105903112536387,6.466891602705866,7.109312997497758,0.0,-1.7855988572329908,1.9356816519183166,0.0,0.0,0.0,2.8649708384666805,0,0,0,0,0,0
image_12.png,surface,0.0,0.0,1.815804540386961,-9.843681757152048,21.18948683645743,0.0,0.7501607328674265,0.8716528457288378,0.0,0.0,0.0,2.2590314718995446,0,0,0,0,0,0
image_13.png,surface,0.0,0.0,3.4651215141776786,-7.511988134650957,-6.635851925041437,0.0,0.3703582378294578,-0.7606139092553202,0.0,0.0,0.0,-0.9710462889789264,0,0,0,0,0,0
image_14.png,surface,0.0,0.0,0.8061344322440842,-18.627283545324648,6.056659662102504,0.0,0.3313783522565525,0.834635067441562,0.0,0.0,0.0,2.7694209272489907,0,0,0,0,0,0
image_15.png,surface,0.0,0.0,1.126630268284504,3.705999801993199,7.916330472358523,0.0,-2.4531386331160565,-0.1747601582132341,0.0,0.0,0.0,-1.609790241172773,0,0,0,0,0,0
image_16.png,surface,0.0,0.0,0.9839285536549887,12.187697396956423,19.648244826138672,0.0,0.23876360634542973,1.4667299782033936,0.0,0.0,0.0,2.695912934494089,0,0,0,0,0,0
image_17.png,surface,0.0,0.0,2.4593249763961955,9.890386161530433,20.231102109079377,0.0,1.5892610718552118,1.1220982334922862,0.0,0.0,0.0,2.6482662282389917,0,0,0,0,0,0
image_18.png,surface,0.0,0.0,1.2598748076193464,15.331400000807268,11.004356003522815,0.0,1.4512741788891599,-1.7059080806435167,0.0,0.0,0.0,1.79521552411435,0,0,0,0,0,0
image_19.png,surface,0.0,0.0,1.8989323185689189,12.910817677934705,9.320691174778608,0.0,2.7427881277818464,-0.47124712259927654,0.0,0.0,0.0,0.782687621200747,0,0,0,0,0,0
image_20.png,surface,0.0,0.0,1.2332767760048082,-2.7211982964874206,5.934262365494967,0.0,2.480944316637315,-0.6231481863465212,0.0,0.0,0.0,2.245727799749682,0,0,0,0,0,0
